10000000;REDONDEO;77010;-  ;;;;;;
10101001;CONTRAPORTADA;10101;2990;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101002;INTERIOR PORTADA;10101;2490;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101003;INTERIOR CONTRAPORTADA;10101;2205;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101004;1 PAGINA;10101;1790;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101005;1/2 HORIZONTAL;10101;1190;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101006;1/2 VERTICAL;10101;1190;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101007;1/3 HORIZONTAL;10101;990;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101008;1/3 VERTICAL;10101;990;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101009;1/4 HORIZONTAL;10101;790;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101010;1/4 VERTICAL;10101;790;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101011;1/4 MODULO;10101;790;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101012;1/6 MODULO;10101;390;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101013;2 PAGINAS ENCARADAS (DOBLE PAG);10101;2790;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101014;1/4 FICHA REPORTAJE;10101;590;TUR;CAR;PRINT;AUTOC;PUBPAP;CONTE
10101015;SECCIÓN OFERTAS 1/2 PÁGINA.;10101;310;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101016;SECCIÓN OFERTAS 1 PÁGINA;10101;520;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101017;FICHA CAMPING 1/2 PÁGINA;10101;980;TUR;CAR;PRINT;AUTOC;PUBPAP;CONTE
10101018;REDACCIONAL;10101;1690;TUR;CAR;PRINT;AUTOC;PUBPAP;CONTE
10101019;ELEMENTO EN PORTADA;10101;990;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101020;MENCIÓN O FICHA EN REPORTAJE;10101;590;TUR;CAR;PRINT;AUTOC;PUBPAP;CONTE
10101030;MODULO DONDE COMPRAR PEQUEÑO;10101;250;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101031;MODULO DONDE COMPRAR GRANDE;10101;790;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101032;MODULO DONDE ACAMPAR PEQUEÑO;10101;250;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101033;MODULO DONDE ACAMPAR GRANDE;10101;790;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101034;LINEAS DONDE COMPRAR;10101;40;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101035;LINEAS DONDE ACAMPAR;10101;40;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101036;LOGOTIPO DONDE COMPRAR;10101;150;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101037;MODULO DONDE COMPRAR MEDIANO;10101;390;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101041;MODULO DONDE ACAMPAR MEDIANO;10101;390;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101042;REPORTAJE CAMPING2 PAGS;10101;1990;TUR;CAR;PRINT;AUTOC;PUBPAP;CONTE
10101043;REPORTAJE CAMPING 1 PÁGINA;10101;1390;TUR;CAR;PRINT;AUTOC;PUBPAP;CONTE
10101044;ENTREVISTA PÁGINA;10101;1390;TUR;CAR;PRINT;AUTOC;PUBPAP;CONTE
10101045;OFERTAS DE TEMPORADA;10101;200;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101050;PLAN COMUNICACION COMPARTIDO;10101;-  ;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101051;CAMPINGS DE CALIDAD;10101;530;TUR;CAR;PRINT;AUTOC;PUBPAP;CONTE
10101052;PATROCINIO PRUEBAS (SEGUROS);10101;80;TUR;CAR;PRINT;AUTOC;PUBPAP;CONTE
10101054;PUBLIRREPORTAJE;10101;1890;TUR;CAR;PRINT;AUTOC;PUBPAP;CONTE
10101055;PUBLIRREPORTAJE (2 Pags);10101;2990;TUR;CAR;PRINT;AUTOC;PUBPAP;CONTE
10101056;ENCARTE;10101;-  ;TUR;CAR;PRINT;AUTOC;ENCAR;PUBLI
10101057;RECARGO POR EMPLAZAMIENTO (1 Pag);10101;270;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101058;RECARGO POR EMPLAZAMIENTO(1/2 Pag);10101;180;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101059;PIE DE PAGINA;10101;390;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101061;3/4 COLOR VERTICAL;10101;1590;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101062;UPGRADE 1P A  4 CUBIERTA;10101;1200;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101063;UPGRADE 1P A 3 CUBIERTA;10101;415;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101064;UPGRADE 1P A 2 CUBIERTA;10101;700;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101070;LAYAR;10101;990;TUR;CAR;PRINT;AUTOC;PUBPAP;CONTE
10101090;ELABORACION PUBLICIDAD 1 PAG;10101;220;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101091;MODIFICACION PUBLICIDAD 1 PAG;10101;50;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101092;ELABORACION PUBLICIDAD 1/2 PAG;10101;160;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101093;MODIFICACION PUBLICIDAD 1/2 PAG;10101;50;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101097;MAPA 1 MODULO;10101;300;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101098;MAPA 2 MODULO;10101;500;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101105;MAPA 4 MODULO;10101;900;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101106;MAPA 4 C;10101;-  ;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101107;MENCIÓN EN ESCAPADA.;10101;490;TUR;CAR;PRINT;AUTOC;PUBPAP;CONTE
10101108;MAPA 2 C;10101;1125;TUR;CAR;PRINT;AUTOC;PUBPAP;PUBLI
10101109;MENCIÓN EN REPORTAJE;10101;110;TUR;CAR;PRINT;AUTOC;PUBPAP;CONTE
10102001;Suscripción 1 año AutoC;10102;-  ;TUR;CAR;PRINT;AUTOC;SUSCR;CONTE
10103001;EJEMPLARES AUTOC;10103;4.81;TUR;CAR;PRINT;AUTOC;VTAEJE;CONTE
10103002;EJEMPLARES DIGITALES;10103;8.26;TUR;CAR;DIG;AUTOC;VTAEJE;CONTE
